user id,movie id,rating,timestamp,movie title,release date,video release date,IMDb URL,unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,count_rating,sum_rating
405,56,4,1970-01-01,Pulp Fiction (1994),1994-01-01,0.0,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,394,1600
405,592,1,1970-01-01,True Crime (1995),1995-01-01,0.0,http://us.imdb.com/M/title-exact?True%20Crime%20(1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,30
405,1582,1,1970-01-01,T-Men (1947),1947-01-01,0.0,http://us.imdb.com/M/title-exact?T-Men%20(1947),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
405,171,1,1970-01-01,Delicatessen (1991),1991-01-01,0.0,http://us.imdb.com/M/title-exact?Delicatessen%20(1991),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,65,252
405,580,1,1970-01-01,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",1995-01-01,0.0,"http://us.imdb.com/M/title-exact?Englishman%20Who%20Went%20Up%20a%20Hill,%20But%20Came%20Down%20a%20Mountain,%20The%20(1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32,108
405,1409,1,1970-01-01,"Swan Princess, The (1994)",1994-01-01,0.0,"http://us.imdb.com/M/title-exact?Swan%20Princess,%20The%20(1994)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20
405,953,3,1970-01-01,Unstrung Heroes (1995),1995-01-01,0.0,http://us.imdb.com/M/title-exact?Unstrung%20Heroes%20(1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22,73
405,994,1,1970-01-01,"Last Time I Committed Suicide, The (1997)",1997-06-20,0.0,http://us.imdb.com/M/title-exact?Last+Time+I+Committed+Suicide%2C+The+(1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,16
405,387,1,1970-01-01,"Age of Innocence, The (1993)",1993-01-01,0.0,"http://us.imdb.com/M/title-exact?Age%20of%20Innocence,%20The%20(1993)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,220
405,1432,1,1970-01-01,"Mighty, The (1998)",1998-10-09,0.0,"http://us.imdb.com/Title?Mighty,+The+(1998)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3
405,190,2,1970-01-01,Henry V (1989),1989-01-01,0.0,http://us.imdb.com/M/title-exact?Henry%20V%20(1989),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,124,513
405,521,4,1970-01-01,"Deer Hunter, The (1978)",1978-01-01,0.0,"http://us.imdb.com/M/title-exact?Deer%20Hunter,%20The%20(1978)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,120,460
405,1177,1,1970-01-01,Dunston Checks In (1996),1996-01-01,0.0,http://us.imdb.com/M/title-exact?Dunston%20Checks%20In%20(1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
405,1503,1,1970-01-01,Gold Diggers: The Secret of Bear Mountain (1995),1995-01-01,0.0,http://us.imdb.com/M/title-exact?Gold%20Diggers:%20The%20Secret%20of%20Bear%20Mountain%20(1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31
405,524,1,1970-01-01,"Great Dictator, The (1940)",1940-01-01,0.0,"http://us.imdb.com/M/title-exact?Great%20Dictator,%20The%20(1940)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,185
405,570,1,1970-01-01,Wyatt Earp (1994),1994-01-01,0.0,http://us.imdb.com/M/title-exact?Wyatt%20Earp%20(1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,155
405,721,1,1970-01-01,Mallrats (1995),1995-01-01,0.0,http://us.imdb.com/M/title-exact?Mallrats%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,186
405,210,5,1970-01-01,Indiana Jones and the Last Crusade (1989),1989-01-01,0.0,http://us.imdb.com/M/title-exact?Indiana%20Jones%20and%20the%20Last%20Crusade%20(1989),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,1301
405,465,1,1970-01-01,"Jungle Book, The (1994)",1994-01-01,0.0,"http://us.imdb.com/M/title-exact?Jungle%20Book,%20The%20(1994)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85,303
405,692,5,1970-01-01,"American President, The (1995)",1995-01-01,0.0,"http://us.imdb.com/M/title-exact?American%20President,%20The%20(1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,164,595
405,583,1,1970-01-01,Romeo Is Bleeding (1993),1993-01-01,0.0,http://us.imdb.com/M/title-exact?Romeo%20Is%20Bleeding%20(1993),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,37,111
405,186,5,1970-01-01,"Blues Brothers, The (1980)",1980-01-01,0.0,"http://us.imdb.com/M/title-exact?Blues%20Brothers,%20The%20(1980)",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,251,963
405,78,2,1970-01-01,Free Willy (1993),1993-01-01,0.0,http://us.imdb.com/M/title-exact?Free%20Willy%20(1993),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,81
405,11,4,1970-01-01,Seven (Se7en) (1995),1995-01-01,0.0,http://us.imdb.com/M/title-exact?Se7en%20(1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,236,908
405,1578,1,1970-01-01,"Collectionneuse, La (1967)",1967-01-01,0.0,"http://us.imdb.com/M/title-exact?Collectionneuse,%20La%20(1967)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4
405,787,3,1970-01-01,Roommates (1995),1995-01-01,0.0,http://us.imdb.com/M/title-exact?Roommates%20(1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,42
405,414,1,1970-01-01,My Favorite Year (1982),1982-01-01,0.0,http://us.imdb.com/M/title-exact?My%20Favorite%20Year%20(1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,219
405,172,5,1970-01-01,"Empire Strikes Back, The (1980)",1980-01-01,0.0,"http://us.imdb.com/M/title-exact?Empire%20Strikes%20Back,%20The%20(1980)",0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,367,1543
405,430,1,1970-01-01,Duck Soup (1933),1933-01-01,0.0,http://us.imdb.com/M/title-exact?Duck%20Soup%20(1933),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,93,372
405,773,1,1970-01-01,Mute Witness (1994),1994-01-01,0.0,http://us.imdb.com/M/title-exact?Mute%20Witness%20(1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,50
405,178,3,1970-01-01,12 Angry Men (1957),1957-01-01,0.0,http://us.imdb.com/M/title-exact?12%20Angry%20Men%20(1957),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,543
405,647,1,1970-01-01,Ran (1985),1985-01-01,0.0,http://us.imdb.com/M/title-exact?Ran%20(1985),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,70,287
405,789,1,1970-01-01,Swimming with Sharks (1995),1995-01-01,0.0,http://us.imdb.com/M/title-exact?Swimming%20with%20Sharks%20(1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,47,168
405,1118,1,1970-01-01,Up in Smoke (1978),1978-01-01,0.0,http://us.imdb.com/M/title-exact?Up%20in%20Smoke%20(1978),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,153
