Data; Time; Open
05.06.2023;08:00:00;26830
05.06.2023;09:00:00;26798.63
05.06.2023;10:00:00;26777
05.06.2023;11:00:00;26716.8
05.06.2023;12:00:00;26773.39
05.06.2023;13:00:00;26690.76
05.06.2023;14:00:00;26728.63
05.06.2023;15:00:00;26802.21
05.06.2023;16:00:00;26007.53
05.06.2023;17:00:00;25809.05
05.06.2023;18:00:00;25756.27
05.06.2023;19:00:00;25564.42
05.06.2023;20:00:00;25630
05.06.2023;21:00:00;25631.15
05.06.2023;22:00:00;25658.35
05.06.2023;23:00:00;25710.74
06.06.2023;00:00:00;25728.2
06.06.2023;01:00:00;25690.89
06.06.2023;02:00:00;25640.02
06.06.2023;03:00:00;25764.76
06.06.2023;04:00:00;25730.83
06.06.2023;05:00:00;25797.66
06.06.2023;06:00:00;25769.96
06.06.2023;07:00:00;25766.21
06.06.2023;08:00:00;25722.34
06.06.2023;09:00:00;25707.8
06.06.2023;10:00:00;25750.75
06.06.2023;11:00:00;25742.36
06.06.2023;12:00:00;25686.64
06.06.2023;13:00:00;25533.41
06.06.2023;14:00:00;25735.2
06.06.2023;15:00:00;26024.72
06.06.2023;16:00:00;26066.12
06.06.2023;17:00:00;26370
06.06.2023;18:00:00;26669.16
06.06.2023;19:00:00;26698.08
06.06.2023;20:00:00;27080.12
06.06.2023;21:00:00;26944.99
06.06.2023;22:00:00;27057.03
06.06.2023;23:00:00;27152.66
07.06.2023;00:00:00;27230.07
07.06.2023;01:00:00;27179.8
07.06.2023;02:00:00;27085.82
07.06.2023;03:00:00;26943.68
07.06.2023;04:00:00;26909.01
07.06.2023;05:00:00;26933.11
07.06.2023;06:00:00;26912.99
07.06.2023;07:00:00;26829.3
07.06.2023;08:00:00;26795.87
07.06.2023;09:00:00;26816.47
07.06.2023;10:00:00;26486.28
07.06.2023;11:00:00;26595.73
07.06.2023;12:00:00;26896.14
07.06.2023;13:00:00;26802.35
07.06.2023;14:00:00;26818.63
07.06.2023;15:00:00;26443.56
07.06.2023;16:00:00;26349.52
07.06.2023;17:00:00;26329.15
07.06.2023;18:00:00;26507.05
07.06.2023;19:00:00;26472.95
07.06.2023;20:00:00;26482.43
07.06.2023;21:00:00;26359.94
07.06.2023;22:00:00;26154.52
07.06.2023;23:00:00;26275.9
08.06.2023;00:00:00;26339.34
